date,meaning,english,japanese,tagalog,?,
6 May 2023,papaya,papaya !!,,,,6 May 2023
4 May 2023,hop,hop !!,,,,4 May 2023
4 May 2023,red panda,red patta,,,,
6 May 2023,yummy,yummy !!,,,,6 May 2023
7 May 2023,toy,toy !!,,,,7 May 2023
7 May 2023,tickle,,kotto,,,
7 May 2023,moon,moo,,,,
7 May 2023,puzzle ,puttu,,,,
7 May 2023,big,bid,,,,
7 May 2023,more,moa,,,,
7 May 2023,yellow ,yeya,,,,
7 May 2023,pear,pea,,,,
7 May 2023,deer,diia,,,,
7 May 2023,woman,uuma,,,,
7 May 2023,girl ,gaa,,,,
7 May 2023,man,meea,,,,
7 May 2023,color (verb),kayaa,,,,
7 May 2023,book,buut,,,,
7 May 2023,floor ,fuaa,,,,
7 May 2023,wet,wet !!,,,,
8 May 2023,orange (color),oji,,,,
8 May 2023,brush,bru,,,,
8 May 2023,teeth,tee,,,,
9 May 2023,play,pe,,,,
9 May 2023,zoo,duu,,,,
10 May 2023,daisy,deidi,,,,
10 May 2023,card,car,,,,
10 May 2023,frog ,fod,,,,
10 May 2023,chair ,tee,,,,
10 May 2023,spoon ,poo,,,,
11 May 2023,banana,bababa,,,,
11 May 2023,spicy,paisii *,,,,
11 May 2023,cold (temperature),"coot, cood",,,,
11 May 2023,milk,,,"datta, gatta",,
12 May 2023,fish,fiit,,,,
12 May 2023,broccoli,"bottoi, boitoi",,,,
12 May 2023,zebra,beita,,,,
13 May 2023,butterfly,,"toutou, chocho",,,
13 May 2023,delicious,,oitii,,,
13 May 2023,jeepney ,bittie,,,,
13 May 2023,gotongoton (sound of trains),,goto goto,,,
14 May 2023,small ,moaa,,,,
15 May 2023,yummy ,yum !!,,,,
15 May 2023,another ,ano ,,,,
12 May 2023,orange (color),datti,,,,
15 May 2023,strawberry ,,ikko,,,
15 May 2023,blue ,,auu,,,
16 May 2023,poop,poop !!,,,,16 May 2023
17 May 2023,rotate,ootii,,,,
17 May 2023,banana,bayaya,,,,
17 May 2023,tree,,,piyo,,
17 May 2023,rain,rree,,,,
14 May 2023,no,no !!,,,,14 May 2023
18 May 2023,okay,oteee,,,,
18 May 2023,sit,heet,,,,
18 May 2023,chiko,,,chiko !!,,18 May 2023
18 May 2023,carrot,,diiti,,,
19 May 2023,big,,ootii,,,
19 May 2023,feet,feet !!,,,,
19 May 2023,windy,wiitiii,,,,
19 May 2023,car ,,buubuu,,,
19 May 2023,bar,baa,,,,
19 May 2023,airplane,eipee,,,,
20 May 2023,elephant ,gita,,,,
20 May 2023,it's gone,,icchatta !!,,,20 May 2023
19 May 2023,hiding,"haitii, haidii",,,,
21 May 2023,trunk,tak,,,,
21 May 2023,tight,tai,,,,
21 May 2023,cup,cup,,,,
21 May 2023,salt,tau,,,,
21 May 2023,window ,winta,,,,
21 May 2023,sweet ,,amai !!,,,
21 May 2023,sweet ,swit,,,,
21 May 2023,walking,wating,,,,
21 May 2023,run,uwa,,,,
21 May 2023,mean (adjective),mii,,,,
21 May 2023,cookie ,cookie !!,,,,
21 May 2023,cage,kei,,,,
21 May 2023,sun,saa,,,,
21 May 2023,adobo,,dobo,,,
23 May 2023,done,daa,,,,
23 May 2023,stick ,ti,,,,
23 May 2023,futon ,,fuuta,,,
23 May 2023,working ,wati,,,,
23 May 2023,cow,cow !!,,,,
23 May 2023,tissue ,hetu,,,,
25 May 2023,helicopter ,dattu,,,,
25 May 2023,blueberry ,bibibi,,,,
26 May 2023,pumpkin,"batti, patti",,,,
25 May 2023,first,faat,,,,
25 May 2023,face,feit,,,,
26 May 2023,spoon,fupoo,,,,
26 May 2023,fork,foot,,,,
26 May 2023,butterfly ,baite,,,,
26 May 2023,yogurt ,doogu,,,,
26 May 2023,grape,deip,,,,
26 May 2023,cabbage,tabe,,,,
26 May 2023,hydrangea ,haidididi,,,,
26 May 2023,jacket ,dakke,,,,
26 May 2023,onigiri,,otiti,,,
26 May 2023,burger,,hapaatu,,,
26 May 2023,tomato ,tobiite,,,,
26 May 2023,crane,tee,,,,
26 May 2023,dump truck ,caat,,,,
26 May 2023,tiny,taihii,,,,
26 May 2023,butterfly ,baitai,,,,
26 May 2023,raining ,reihee,,,,
26 May 2023,leaf,reef,,,,
26 May 2023,blanket,baihee,,,,
26 May 2023,snow,nou,,,,
26 May 2023,red ,red !!,,,,26 May 2023
26 May 2023,purple ,purple !!,,,,26 May 2023
26 May 2023,sticking out,teetee au,,,,
26 May 2023,rabbit,dabi,,,,
26 May 2023,sky blue,kai bu,,,,
26 May 2023,tulip,tuupee,,,,
26 May 2023,diaper ,diaper !!,,,,26 May 2023
26 May 2023,baby,baby !!,,,,26 May 2023
26 May 2023,brushing,baati,,,,
26 May 2023,teeth,ti,,,,
26 May 2023,puppy,puppy !!,,,,26 May 2023
26 May 2023,pancake,paitee,,,,
27 May 2023,sunscreen,taipee,,,,
27 May 2023,bus stop ,batto,,,,
27 May 2023,naan,"nan, naa",,,,
27 May 2023,wing,wii,,,,
27 May 2023,pineapple ,taiputu,,,,
27 May 2023,coconut ,cocota,,,,
27 May 2023,trike ,tai,,,,
29 May 2023,bathroom ,batuu,,,,
29 May 2023,umbrella,apata,,,,
29 May 2023,okra,akka,,,,
29 May 2023,none/nothing,,nai !!,,,29 May 2023
30 May 2023,gray,dee,,,,
30 May 2023,easy,iidi,,,,
1 Jun 2023,tofu,tapo,,,,
3 Jun 2023,blooming ,buhii,,,,
4 Jun 2023,tank top,tap tap,,,,
5 Jun 2023,caterpillar ,tapitata,,,,
4 Jun 2023,put away,,nai nai !!,,,4 Jun 2023
5 Jun 2023,everyone/everything,,minna !!,,,5 Jun 2023
5 Jun 2023,take a bath ,,,kigo,,
5 Jun 2023,alpaca,aupata,,,,
5 Jun 2023,bedtime,beitai,,,,
5 Jun 2023,garbage,dabee,,,,
7 Jun 2023,tall,,takai !!,,,7 Jun 2023
7 Jun 2023,sleepy,sheepee,,,,
7 Jun 2023,Snowpea,toukee,,,,
7 Jun 2023,tanker,takaa,,,,
7 Jun 2023,empty ,eipitee,,,,
7 Jun 2023,nothing ,,naine !!,,,7 Jun 2023
8 Jun 2023,keyboard ,"tiipo, tiboo",,,,
8 Jun 2023,yoisyo,,yoito,,,
8 Jun 2023,name,name !!,,,,
9 Jun 2023,chicken,teetee,,,,
9 Jun 2023,tomato,topito,,,,
9 Jun 2023,firetruck,fayawkuck,,,,
9 Jun 2023,acorn,eikoo,,,,
9 Jun 2023,crocodile ,cocodai,,,,
9 Jun 2023,good morning ,,hayou,,,
9 Jun 2023,put on,,hakou !!,,,9 Jun 2023
10 Jun 2023,thank you,tei tuu,,,,
10 Jun 2023,Yumi,nuumi,,,,
10 Jun 2023,Oscar,otta,,,,
10 Jun 2023,sunflower,sunfafa,,,,
10 Jun 2023,tofu,tofu !!,,,,10 Jun 2023
10 Jun 2023,juice ,joot,,,,
10 Jun 2023,tv,teedee,,,,
10 Jun 2023,nori,noyee,,,,
11 Jun 2023,radish,radee,daiko,,,
11 Jun 2023,please,peees,,,,
11 Jun 2023,burrito ,buweeto,,,,
11 Jun 2023,mango,batto,,,,
